students,vehicles,temperature,working_hours,benches,washrooms,classrooms,labs,library_seats,parking,canteen_seats
1000,400,24,6,650,10,17,6,150,300,200
1500,600,25,7,975,15,25,9,225,450,300
2000,800,26,8,1300,20,34,12,300,600,400
2500,1000,27,8,1625,25,42,14,375,750,500
3000,1200,28,8,1950,30,50,17,450,900,600
3500,1400,29,9,2275,35,59,20,525,1050,700
4000,1600,29,9,2600,40,67,23,600,1200,800
4500,1800,30,9,2925,45,75,25,675,1350,900
5000,2000,30,10,3250,50,84,28,750,1500,1000
5500,2200,31,10,3575,55,92,31,825,1650,1100
6000,2400,31,10,3900,60,100,33,900,1800,1200
6500,2600,32,10,4225,65,109,36,975,1950,1300
7000,2800,32,11,4550,70,117,39,1050,2100,1400
7500,3000,33,11,4875,75,125,42,1125,2250,1500
8000,3200,33,11,5200,80,134,44,1200,2400,1600
8500,3400,34,12,5525,85,142,47,1275,2550,1700
9000,3600,34,12,5850,90,150,50,1350,2700,1800
9500,3800,35,12,6175,95,159,53,1425,2850,1900
10000,4000,35,12,6500,100,167,56,1500,3000,2000
